simulation_steps,matrix_dim,temp,avg_e per particle,cv per particle,magnet per particle,xi per particle,mag_abs per particle
1000000,20,2.4000000,-1.2363921,1.4077151,-0.0094008950,43.012418,0.45273334
50000,20,1.0000000,-1.9972226,0.023032020,-0.99929090,0.0015494709,0.99929090
100000,20,1.0000000,-1.9969914,0.056424930,-0.99900470,0.060501151,0.99900470
100000,20,1.0000000,-1.9971636,0.023253134,0.99927640,0.0015597612,0.99927640
100000,20,1.0000000,-1.9971655,0.023149844,0.99927755,0.0015491264,0.99927755
100000,20,1.0000000,-1.9971778,0.023102875,0.99927990,0.0015537824,0.99927990
100000,20,1.0000000,-1.9970309,0.054596578,0.99893855,0.10408503,0.99894885
100000,20,2.4000000,-1.2344388,1.4176958,-0.032688800,42.243242,0.44813710
100000,20,2.4000000,-1.2389100,1.4038207,-0.0044986500,43.648691,0.45687105
100000,20,2.4000000,-1.2358712,1.3936295,-0.037440300,42.716428,0.45278090
100000,20,2.4000000,-1.2373574,1.4066007,0.020517250,43.506180,0.45719055
100000,20,2.4000000,-1.2383126,1.4256319,-0.0063710500,43.527946,0.45629185
100000,20,2.4000000,-1.2326460,1.4173630,-0.029097700,41.715834,0.44371660
100000,20,2.4000000,-1.2398643,1.4262760,0.046111850,44.066300,0.46335155
100000,20,2.4000000,-1.2357110,1.3748736,0.021749200,42.350827,0.44963320
100000,20,2.4000000,-1.2439113,1.4117013,-0.023161450,44.722029,0.46445545
100000,20,2.4000000,-1.2380114,1.4247501,0.017022950,43.391627,0.45521965
100000,20,2.4000000,-1.2438230,1.4474341,-0.011620250,45.127934,0.46682075
100000,20,2.4000000,-1.2366941,1.4102608,0.0030819000,43.404761,0.45523100
100000,20,2.4000000,-1.2293144,1.3895762,0.024330050,40.729625,0.43836255
100000,20,2.4000000,-1.2361029,1.3981037,-0.019738750,43.292791,0.45651985
100000,20,1.0000000,-1.9971247,0.045087860,0.99920115,0.020123635,0.99920115
100000,20,1.0000000,-1.9971900,0.022963960,0.99928350,0.0015428511,0.99928350
100000,20,1.0000000,-1.9971357,0.023459514,0.99926985,0.0015700524,0.99926985
100000,20,2.4000000,-1.2378653,1.3997268,0.018066700,43.420258,0.45644970
100000,20,2.4000000,-1.2354455,1.4170023,0.022276300,42.923451,0.45346440
950000,20,2.4000000,-1.2359716,1.4166360,-0.0038618789,42.904494,0.45164530
997000,20,2.4000000,-1.2374573,1.4089795,0.027190191,43.137887,0.45454294
997000,20,1.0000000,-1.9971626,0.023273215,0.99927678,0.0015583712,0.99927678
100000,100,2.4000000,-1.2031824,1.1339186,-0.00075288600,69.612469,0.10475965
100000,100,2.4000000,-1.2042982,1.1478071,0.012377550,56.097769,0.094282938
100000,100,1.0000000,-1.9962389,1.1956093,-0.99235137,44.157069,0.99235137
100000,100,1.0000000,-1.9971640,0.023161772,0.99927666,0.0015540894,0.99927666
1010000,20,1.0000000,-1.9971820,0.023172575,0.99928124,0.0015553452,0.99928124
1010000,20,2.4000000,-1.2356766,1.4060038,0.021112000,42.691707,0.45073518
1000000,20,1.0000000,-1.9971675,0.023380165,0.99927730,0.0015710819,0.99927730
1000000,20,2.4000000,-1.2362552,1.4062722,0.022135960,42.897292,0.45251113
100000,20,1.0000000,-1.9971958,0.022820985,0.99928500,0.0015307100,0.99928500
100000,20,2.4000000,-1.2390111,1.3845835,0.041798000,43.709400,0.46149420
100000,20,2.4000000,-1.2346415,1.4398444,0.010166600,42.515328,0.44857970
100000,20,1.0000000,-1.9969900,0.055366360,-0.99891385,0.097741011,0.99891385
100000,20,1.0000000,-1.9971450,0.023377190,0.99927165,0.0015723025,0.99927165
100000,20,2.4000000,-1.2384127,1.3931320,0.026230600,42.900813,0.45316150
100000,20,1.0000000,-1.9971585,0.023317151,0.99927545,0.0015635109,0.99927545
100000,20,2.4000000,-1.2389656,1.4117689,0.0053068500,43.381235,0.45394585
100000,20,2.4000000,-1.2348251,1.3829912,0.071274600,42.069750,0.45311720
100000,20,2.4000000,-1.2358339,1.3782100,0.076085650,42.031656,0.45559085
100000,20,2.4000000,-1.2397087,1.4343267,0.012881350,43.771904,0.45676525
100000,20,1.0000000,-1.9970584,0.046066796,-0.99907630,0.053209511,0.99907630
100000,20,1.0000000,-1.9972095,0.022936844,0.99928625,0.0015535244,0.99928625
